Train on 60000 samples, validate on 10000 samples
55040/60000 [==========================>...] - ETA: 2s - loss: 0.2273
55168/60000 [==========================>...] - ETA: 2s - loss: 0.2272
55296/60000 [==========================>...] - ETA: 2s - loss: 0.2271
55424/60000 [==========================>...] - ETA: 2s - loss: 0.2270
55552/60000 [==========================>...] - ETA: 1s - loss: 0.2269
55680/60000 [==========================>...] - ETA: 1s - loss: 0.2268
55808/60000 [==========================>...] - ETA: 1s - loss: 0.2266
55936/60000 [==========================>...] - ETA: 1s - loss: 0.2265
56064/60000 [===========================>..] - ETA: 1s - loss: 0.2264
56192/60000 [===========================>..] - ETA: 1s - loss: 0.2263
56320/60000 [===========================>..] - ETA: 1s - loss: 0.2261
56448/60000 [===========================>..] - ETA: 1s - loss: 0.2260
56576/60000 [===========================>..] - ETA: 1s - loss: 0.2259
56704/60000 [===========================>..] - ETA: 1s - loss: 0.2258
56832/60000 [===========================>..] - ETA: 1s - loss: 0.2256
56960/60000 [===========================>..] - ETA: 1s - loss: 0.2255
57088/60000 [===========================>..] - ETA: 1s - loss: 0.2254
57216/60000 [===========================>..] - ETA: 1s - loss: 0.2253
57344/60000 [===========================>..] - ETA: 1s - loss: 0.2252
